2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2021.11.28 00:26:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2021.11.28 00:26:39 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.11.28 00:26:39 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@193db830 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@7c93923f [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@14859be0 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@742e512c [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@365acd81 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@54971b0 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@72a87191 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@3e54a569 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@64f7e3f0 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@41471d30 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@30f4c782 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.11.28 00:26:39 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2021.11.28 00:26:39 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.11.28 00:26:39 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.11.28 00:29:32 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2021.11.28 00:29:32 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2021.11.28 00:29:32 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2021.11.28 00:29:32 INFO  web[][o.s.s.app.WebServer] WebServer stopped
2021.11.28 00:29:48 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.11.28 00:29:48 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.11.28 00:29:48 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2021.11.28 00:29:49 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 8.9.3.48735 / f66fd41c02b18a63c6241c6eb4a1509e490719b4
2021.11.28 00:29:49 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.11.28 00:29:49 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2021.11.28 00:29:49 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.11.28 00:29:49 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2021.11.28 00:29:50 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.11.28 00:29:50 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
